StreamLen	Trials	NumDistinct	EpsTotalWeight	p0.00135	p0.02275	p0.15866	p0.50	p0.84134	p0.97725	p0.99865	BoundViolationRate
37316	54	4402.0	372.92	8.0000	14.0000	22.0000	34.0000	53.0000	91.0000	217.0000	0.00012621
38968	53	4490.0	389.43	9.0000	15.0000	23.0000	36.0000	56.0000	100.0000	183.0000	0.00014288
40693	52	4575.5	406.67	8.0000	15.0000	24.0000	37.0000	57.0000	100.0000	160.0000	0.00011768
42495	51	4679.5	424.68	11.0000	16.0000	25.0000	39.0000	60.0000	103.0000	142.0000	0.00012990
44376	50	4775.4	443.48	10.0000	17.0000	26.0000	41.0000	63.0000	101.0000	145.0000	0.00015496
46341	49	4878.1	463.12	10.0000	17.0000	28.0000	43.0000	66.0000	111.0000	188.0000	0.00015061
48393	48	4969.3	483.62	11.0000	19.0000	29.0000	44.0000	69.0000	114.0000	190.0000	0.00014254
50535	47	5063.0	505.03	10.0000	20.0000	31.0000	46.0000	72.0000	121.0000	183.0000	0.00015969
52773	46	5152.0	527.40	12.0000	20.0000	32.0000	48.0000	74.0000	125.0000	196.0000	0.00015190
55109	45	5259.9	550.74	11.0000	21.0000	33.0000	50.0000	78.0000	130.0000	231.0000	0.00014365
57549	45	5354.9	575.13	14.0000	22.0000	35.0000	53.0000	81.0000	134.0000	214.0000	0.00012865
60097	44	5452.5	600.59	11.0000	24.0000	37.0000	55.0000	85.0000	143.0000	313.0000	0.00015422
62757	43	5542.3	627.17	13.0000	24.0000	38.0000	57.0000	88.0000	143.0000	309.0000	0.00013008
65536	42	5656.9	654.95	15.0000	26.0000	40.0000	60.0000	93.0000	158.0000	358.0000	0.00013890
68438	41	5741.6	683.95	21.0000	27.0000	42.0000	63.0000	98.0000	171.0000	421.0000	0.00011045
71468	41	5826.0	714.23	20.0000	29.0000	44.0000	66.0000	101.0000	181.0000	364.0000	0.00012978
74632	40	5928.8	745.85	18.0000	30.0000	46.0000	69.0000	106.0000	183.0000	333.0000	0.00011385
77936	39	6015.4	778.87	21.0000	33.0000	48.0000	72.0000	111.0000	190.0000	354.0000	0.00012788
81386	39	6113.8	813.35	22.0000	33.0000	50.0000	75.0000	115.0000	204.0000	480.0000	0.00013001
84990	38	6206.2	849.36	18.0000	33.0000	53.0000	79.0000	120.0000	204.0000	331.0000	0.00011873
88752	37	6298.0	886.96	22.0000	34.0000	55.0000	81.0000	125.0000	207.0000	327.0000	0.00013303
92682	36	6387.5	926.23	26.0000	38.0000	58.0000	86.0000	131.0000	230.0000	507.0000	0.00013046
96785	36	6480.7	967.24	28.0000	41.0000	61.0000	89.0000	137.0000	242.0000	541.0000	0.00012859
101070	35	6566.7	1010.06	25.0000	41.0000	62.0000	93.0000	144.0000	233.0000	322.0000	0.00010877
105545	35	6655.7	1054.78	28.0000	45.0000	66.0000	98.0000	149.0000	257.0000	420.0000	0.00010732
110218	34	6727.9	1101.48	30.0000	46.0000	69.0000	102.0000	157.0000	268.0000	485.0000	0.00012678
115098	33	6805.4	1150.25	32.0000	48.0000	72.0000	107.0000	164.0000	281.0000	771.0000	0.00014249
120194	33	6893.6	1201.18	28.0000	50.0000	75.0000	111.0000	169.0000	296.0000	461.0000	0.00010550
125515	32	6967.3	1254.36	27.0000	52.0000	78.0000	116.0000	177.0000	309.0000	543.0000	0.00013007
131072	32	7042.1	1309.89	34.0000	54.0000	82.0000	121.0000	186.0000	311.0000	627.0000	0.00013313
